title,location,area,size,rooms,sqm_m2,price_VND,province,country
BÁN CĂ HỘ MĂT TIỀN PHAN VĂN TRỊ - LÊ HỒNG PHONG Q5 78M 2PN,Quận 5,78 m² - 2 PN,78 m²,2 PN,78.0,3100000000,thanh pho ho chi minh,vietnam
Bán Nhà Hẻm Cụt chỉ có 3 căn,Quận 5,32.2 m² - 3 PN,32.2 m²,3 PN,32.2,6990000000,thanh pho ho chi minh,vietnam
Chính chủ bán chung cư 26 Ngô Quyền P03 lầu1,Quận 5,39 m² - 2 PN,39 m²,2 PN,39.0,1750000000,thanh pho ho chi minh,vietnam
Nhà mặt tiền khu dân cư gần chợ,Quận 5,72 m² - 3 PN,72 m²,3 PN,72.0,30000000000,thanh pho ho chi minh,vietnam
cần bán nhà chính chủ,Quận 5,37.7 m² - 2 PN,37.7 m²,2 PN,37.7,3900000000,thanh pho ho chi minh,vietnam
"CẦN BÁN NHÀ MẶT TIỀN 639B NGUYỄN TRÃI, QUẬN 5",Quận 5,60 m² - 3 PN,60 m²,3 PN,60.0,9500000000,thanh pho ho chi minh,vietnam
"Chính chủ bán căn hộ Tại Kiều By Kita hàng hiếm, giá rẻ",Quận 5,90 m² - 2 PN,90 m²,2 PN,90.0,12500000000,thanh pho ho chi minh,vietnam
"Quận 5 Nguyễn Tri Phương, nhà 1 trệt 2 lầu 66m² nở hậu, chỉ 6.6 tỷ",Quận 5,66 m² - 3 PN,66 m²,3 PN,66.0,6600000000,thanh pho ho chi minh,vietnam
"CHÍNH CHỦ NHÀ MT NGUYỄN TRÃI - PHƯỜNG 11, QUẬN 5",Quận 5,37 m² - 6 PN,37 m²,6 PN,37.0,25000000000,thanh pho ho chi minh,vietnam
"🔥 Nhà cư xá Quận 5 trung tâm – chỉ 1,65 tỷ, có gác, ở ngay!",Quận 5,119 m² - 2 PN,119 m²,2 PN,119.0,1650000000,thanh pho ho chi minh,vietnam
Cần bán căn hộ chung cư 109 Nguyễn Biểu 54m^2 2 pn 2wc,Quận 5,54 m² - 2 PN,54 m²,2 PN,54.0,3280000000,thanh pho ho chi minh,vietnam
"💥 Cần Bán Nhà 417/33A An Dương Vương, 3,2x12m, 2 lầu, 5,75 tỷ",Quận 5,36 m² - 3 PN,36 m²,3 PN,36.0,5750000000,thanh pho ho chi minh,vietnam
Cần cho thuê mặt bằng vỉa hè,Quận 5,,20 m²,,20.0,3000000,thanh pho ho chi minh,vietnam
Chính chủ bán nhà mặt tiền ngay chợ Hoà Bình,Quận 5,33.0998 m² - 2 PN,33.0998 m²,2 PN,33.0998,15000000000,thanh pho ho chi minh,vietnam
"Nhà ở 43,6m2 gồm 4 phòng ngủ, phù đổng thiên vương, Q.5",Quận 5,43.5998 m² - 4 PN,43.5998 m²,4 PN,43.5998,7300000000,thanh pho ho chi minh,vietnam
Bán nhà Mặt tiền đường An Dương Vương,Quận 5,48 m² - 6 PN,48 m²,6 PN,48.0,39000000000,thanh pho ho chi minh,vietnam
Chủ định cư nước ngoài cần bán gấp,Quận 5,40.2 m² - 3 PN,40.2 m²,3 PN,40.2,10000000000,thanh pho ho chi minh,vietnam
căn hộ c/c mặt tiền trung tâm Q5 hàng hiếm,Quận 5,70 m² - 2 PN,70 m²,2 PN,70.0,3300000000,thanh pho ho chi minh,vietnam
"Bán nhà Q5, 5 PN, 2 mặt hẻm, Nguyễn Biểu & Cao Đạt, sát quận 1",Quận 5,46.4 m² - 5 PN,46.4 m²,5 PN,46.4,9800000000,thanh pho ho chi minh,vietnam
Bán nhà 2căn liền kề MT Yết Kiêu p9 qu5.Khu kinh doanh sầm uất.,Quận 5,120 m² - 4 PN,120 m²,4 PN,120.0,27500000000,thanh pho ho chi minh,vietnam
"Nhà bán 1/, Nguyễn văn cừ, phường 1, quận 5, trệt, lầu, 2pn, 5,2 tỷ.",Quận 5,40.7999 m² - 2 PN,40.7999 m²,2 PN,40.7999,5300000000,thanh pho ho chi minh,vietnam
💰 BÁN CĂN HỘ VÕ VĂN KIỆT 40M² – 1 PHÒNG NGỦ – GIÁ CHỈ 1 TỶ 250,Quận 5,20 m² - 1 PN,20 m²,1 PN,20.0,1250000000,thanh pho ho chi minh,vietnam
Nhà bán đường Tân Hưng quận 5,Quận 5,64 m² - 3 PN,64 m²,3 PN,64.0,11500000000,thanh pho ho chi minh,vietnam
"❇CẦN BÁN NHÀ MT NỘI BỘ 81Đg 702 HỒNG BÀNG. DT:3,4& 15M, 2LẦU ĐÚC",Quận 5,51 m² - 4 PN,51 m²,4 PN,51.0,8100000000,thanh pho ho chi minh,vietnam
"chung cư lầu 01 Nguyễn Tri Phương, P8, Q5",Quận 5,80 m² - 2 PN,80 m²,2 PN,80.0,2500000000,thanh pho ho chi minh,vietnam
Cần bán gấp nhà khu kinh doanh diện tích sàn 130m2,Quận 5,130 m² - 4 PN,130 m²,4 PN,130.0,33000000000,thanh pho ho chi minh,vietnam
🏘️💎 Nhà Đẹp 2 Mặt Hẻm 2 Tầng 2 Phòng Ngủ Khu Trung Tâm,Quận 5,22 m² - 2 PN,22 m²,2 PN,22.0,5600000000,thanh pho ho chi minh,vietnam
"Bán nhà chính chủ, Ko qua môi giới – Giá chỉ nhỉnh 13 tỷ, ngang 8.6m",Quận 5,56 m² - 6 PN,56 m²,6 PN,56.0,14000000000,thanh pho ho chi minh,vietnam
"CƠ HỘI HIẾM CÓ – 2 MẶT TIỀN GIÁ CHỈ NHỈNH HẼM, NGAY TRUNG TÂM Q5!",Quận 5,96 m² - 8 PN,96 m²,8 PN,96.0,24900000000,thanh pho ho chi minh,vietnam
Chính Chủ bán nhà Minh Phung 6 x 10m Trệt 1 lẦu góc 2MT hẻm XH,Quận 5,60 m² - 4 PN,60 m²,4 PN,60.0,8500000000,thanh pho ho chi minh,vietnam
KIỀU,Quận 5,155 m² - 3 PN,155 m²,3 PN,155.0,21500000000,thanh pho ho chi minh,vietnam
"Bán CHCC hẻm 136 Nguyễn Tri Phương, phường An Đông (P9, Q5)",Quận 5,127 m² - 3 PN,127 m²,3 PN,127.0,3600000000,thanh pho ho chi minh,vietnam
"Bán 2 nhà liền kề gần trường học, plaza, chợ",Quận 5,97 m² - 8 PN,97 m²,8 PN,97.0,20000000000,thanh pho ho chi minh,vietnam
Bán Nhà HXH Trần Hưng Đạo 2 Chiều Phường 5  Quận 5 ( Phường An Đông ),Quận 5,68.3 m² - 6 PN,68.3 m²,6 PN,68.3,18000000000,thanh pho ho chi minh,vietnam
"hẻm oto 117/2D đường an bình 66m ,6pn,6wc trong phòng, 2sân thượng",Quận 5,66 m² - 6 PN,66 m²,6 PN,66.0,12900000000,thanh pho ho chi minh,vietnam
Nhà bán 2 mặt q5 võ văn kiệt và gò công sau mặt hẻm,Quận 5,48 m² - 4 PN,48 m²,4 PN,48.0,17900000000,thanh pho ho chi minh,vietnam
"nhà mặt tiền đường Q5, diện tích 60m2, 5 phòng ngủ",Quận 5,60 m² - 5 PN,60 m²,5 PN,60.0,25000000000,thanh pho ho chi minh,vietnam
Ban nha mặt tiền Nguyễn trai,Quận 5,53 m² - 3 PN,53 m²,3 PN,53.0,23000000000,thanh pho ho chi minh,vietnam
"Bán nhà mặt tiền đường Nguyễn Biểu, Quận 5, 4 lầu, 77m2, giá 28,2 tỷ",Quận 5,77 m² - 8 PN,77 m²,8 PN,77.0,26800000000,thanh pho ho chi minh,vietnam
CHÍNH CHỦ CẦN BÁN NHÀ QUẬN 5- 2TỶ 850TR,Quận 5,21 m² - 2 PN,21 m²,2 PN,21.0,2850000000,thanh pho ho chi minh,vietnam
Bán nhà mặt tiền đường Nguyễn Trãi,Quận 5,80 m² - 5 PN,80 m²,5 PN,80.0,29500000000,thanh pho ho chi minh,vietnam
cần bán nhà Phạm hữu chí Q5,Quận 5,57 m² - 5 PN,57 m²,5 PN,57.0,18000000000,thanh pho ho chi minh,vietnam
"BÁN NHÀ MẶT TIỀN 4,1x8,65, 4 PHÒNG NGỦ, NGUYỄN TRÃI QUẬN 5",Quận 5,35.47 m² - 4 PN,35.47 m²,4 PN,35.47,16000000000,thanh pho ho chi minh,vietnam
Cần bán căn hộ mặt tiền đường Võ Văn Kiệt gần bưu điện quận 5,Quận 5,102 m² - 2 PN,102 m²,2 PN,102.0,2450000000,thanh pho ho chi minh,vietnam
"Bán chung cư cũ 63 m2 mặt tiền đường Tản Đà, 2pn , 1wc",Quận 5,63.0999 m² - 2 PN,63.0999 m²,2 PN,63.0999,2390000000,thanh pho ho chi minh,vietnam
bán nhà mặt tiền Hồng bàng Q5 đối diện bệnh viện phụ sản hùng vương .,Quận 5,42 m² - 1 PN,42 m²,1 PN,42.0,9500000000,thanh pho ho chi minh,vietnam
"BÁN CĂN HỘ 54M2 CHUNG CƯ VIỄN ĐÔNG QUẬN 5 - GIÁ 2,8 TỶ (TL)",Quận 5,54 m² - 1 PN,54 m²,1 PN,54.0,2800000000,thanh pho ho chi minh,vietnam
Sạp chợ Kim Biên,Quận 5,,20 m²,,20.0,1000000000,thanh pho ho chi minh,vietnam
"Cần đổi nhà, bán nhà mặt tiền, 2 lầu",Quận 5,50 m² - 3 PN,50 m²,3 PN,50.0,12000000000,thanh pho ho chi minh,vietnam
Chính chủ Bán nhà mặt tiền trung tâm Q5,Quận 5,26 m² - 3 PN,26 m²,3 PN,26.0,14800000000,thanh pho ho chi minh,vietnam
Cần bán căn nhà Q5,Quận 5,22 m² - 3 PN,22 m²,3 PN,22.0,4000000000,thanh pho ho chi minh,vietnam
Bán nhà chung cư Sư Vạn Hạnh quận 5,Quận 5,62 m² - 2 PN,62 m²,2 PN,62.0,3200000000,thanh pho ho chi minh,vietnam
cần bán nhà chính chủ mới xây mới dọn vào ở ngay. 5 pn .3nvs .,Quận 5,27 m² - 5 PN,27 m²,5 PN,27.0,6000000000,thanh pho ho chi minh,vietnam
Bán chung cư đường Lão Tử,Quận 5,64 m² - 4 PN,64 m²,4 PN,64.0,2800000000,thanh pho ho chi minh,vietnam
"Hoa hồng 1% - Bán nhà riêng Nguyễn Trãi, p.2, Q.5, HCM, 8,95 tỷ, 47 m2",Quận 5,47 m² - 2 PN,47 m²,2 PN,47.0,8950000000,thanh pho ho chi minh,vietnam
Cần bán nhà 3 lầu 3.3x14m p An Đông hcm,Quận 5,46 m² - 3 PN,46 m²,3 PN,46.0,9500000000,thanh pho ho chi minh,vietnam
"gần chợ, trường học, nhà hàng, bệnh vien, ngân hang…….",Quận 5,146.6999 m² - 6 PN,146.6999 m²,6 PN,146.6999,42000000000,thanh pho ho chi minh,vietnam
Bán nhà mặt tiền vừa ở vừa kd,Quận 5,102 m² - 2 PN,102 m²,2 PN,102.0,11700000000,thanh pho ho chi minh,vietnam
"Chính chủ bán căn 61 m2, 2PN 2WC, cạnh cầu Nguyễn Tri Phương",Quận 5,61 m² - 2 PN,61 m²,2 PN,61.0,3100000000,thanh pho ho chi minh,vietnam
"Hoa hồng 1% - Bán nhà  Nguyễn Trãi, Phường 2, Quận 5,giá 8,95 tỷ, 47m2",Quận 5,47 m² - 2 PN,47 m²,2 PN,47.0,8950000000,thanh pho ho chi minh,vietnam
